source_identifier,model,remote_files,parents,has_work_type,local_identifier,ark,acquisition_identifier,oclc,issn,isbn,title,alternative_title,abstract,table_of_contents,photographer,date_created,date_issued,date_other,date_created_d,date_issued_d,date_other_d,publisher,utk_publisher,publication_place,utk_place_of_publication,note,extent,instrumentation,first_line,intended_audience,rights_statement,spatial,spatial_local,coordinates,temporal,call_number,bibliographic_citation,provider,intermediate_provider,repository,archival_collection,subject,keyword,form,resource_type,form_local,language,sheetmusic_hostitem,is_part_of,utk_photographer,contributor,utk_contributor,creator,utk_creator
knoxgardens:116,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000215 | Film  97 | Slide 2 | knoxgardens:116 | record_spc_4490,,,,,,Mockingbird,,"Slide photo of the Tennessee State Bird, the mockingbird",,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85086407 | http://id.loc.gov/authorities/subjects/sh85127482,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:124,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000224 | Film  86 | Slide 11 | knoxgardens:124 | record_spc_4499,,,,,,Purple Trillium,,Glass slide photo of Purple Trillium flower.,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh96008268 | http://id.loc.gov/authorities/subjects/sh2008120720,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:213,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000220 | Film 98 | Slide 7,,,,,,View of the Great Smoky Mountains in winter,,Glass slide of frosted evergreens and misty mountain peaks.,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,4 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Great Smoky Mountains,"35.58343, -83.50822",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1325",http://id.loc.gov/authorities/subjects/sh85090290 | http://id.loc.gov/authorities/subjects/sh85137265 | http://id.loc.gov/authorities/subjects/sh85087947 | http://id.loc.gov/authorities/subjects/sh2008009411,,http://vocab.getty.edu/aat/300134978,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:123,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000223 | Film  83 | Slide 10 | knoxgardens:123 | record_spc_4498,,,,,,Galax,,Glass slide of the Galax plant.,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh2006020025 | http://id.loc.gov/authorities/subjects/sh2008120720,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:131,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000231 | Film  76 | Slide 18 | knoxgardens:131 | record_spc_4506,,,,,,Bee Balm (Monarda),,Glass slide of Bee Balm flowers,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh00004645 | http://id.loc.gov/authorities/subjects/sh2008120720,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:128,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000228 | Film  87 | Slide 15 | knoxgardens:128 | record_spc_4503,,,,,,Rhododendron Maximum,,Glass slide of Rhododendron flowers.,,http://id.loc.gov/authorities/names/no2018075078,1927-1935,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/InC/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh2005008326 | http://id.loc.gov/authorities/subjects/sh85113765,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,,,,,
knoxgardens:139,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000240 | Film  47 | Slide 27 | knoxgardens:139 | record_spc_4514,,,,,,View of Mrs. Sanford's pond,Mrs. A. F. Sanford,Glass slide photo of pond in a garden.,,http://id.loc.gov/authorities/names/no2018075078,1927-1935,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/InC/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85145559 | http://id.loc.gov/authorities/subjects/sh85145576,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,,,,,
knoxgardens:164,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000269 | Film  33 | Slide 56 | knoxgardens:164 | record_spc_4539,,,,,,View of Lida (McClung) Ross's garden in the winter,Mrs. W. C. Ross,Garden slide photo of winter snow scene.,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85103022 | http://id.loc.gov/authorities/subjects/sh85137265,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:171,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000276 | Film  36 | Slide 63 | knoxgardens:171 | record_spc_4546,,,,,,View of Lida (McClung) Ross's garden,"Mrs. Will C. Ross, May",Glass slide photo of garden patios.,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85103022 | http://id.loc.gov/authorities/subjects/sh85098714 | http://id.loc.gov/authorities/subjects/sh85145559,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:115,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000214 | Film  96 | Slide 1 | knoxgardens:115 | record_spc_4489,,,,,,Tulip Tree,,"Photograph slide of the Tennessee state tree, the tulip tree",,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85077428 | http://id.loc.gov/authorities/subjects/sh85049328,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:190,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000295 | Film  37 | Slide 82 | knoxgardens:190 | record_spc_4565,,,,,,Wreath on Lida (McClung) Ross's door,"Mrs. W. C. Ross, wreath",Glass slide photo of wreath on door.,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85025309 | http://id.loc.gov/authorities/subjects/sh85148599,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:177,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000282 | Film  65 | Slide 69 | knoxgardens:177 | record_spc_4552,,,,,,Lotus flowers,July Lotus,Glass slide photo of lotus flowers.,,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85078460 | http://id.loc.gov/authorities/subjects/sh2008120720,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
knoxgardens:205,Image,,collections:knoxgardens,https://ontology.lib.utk.edu/works#ImageWork,0012_000463_000311 | Film  105 | Slide 98 | knoxgardens:205 | record_spc_4580,,,,,,View of Mrs. Harris's garden,Mrs. A Harris,"Glass slide photo of porch surrounded by bushes, plants and flowers. There is a name written on the label, but it was in pencil and has rubbed off to be illegible.",,,1930-1939,,,1930/1939,,,,,,,Mrs. A. C. Bruner donated this collection to the University of Tennessee. Creation dates were inferred from the dates associated with the archival collection and the activity dates of the Jim Thompson Company.,3 1/4 x 5 inches,,,,http://rightsstatements.org/vocab/CNE/1.0/,,Knoxville (Tenn.),"35.96064, -83.92074",,,,"University of Tennessee, Knoxville. Libraries",,"University of Tennessee, Knoxville. Special Collections","Knoxville Gardens Slides, MS.1324",http://id.loc.gov/authorities/subjects/sh85101348 | http://id.loc.gov/authorities/subjects/sh85053123 | http://id.loc.gov/authorities/subjects/sh85103022,,http://vocab.getty.edu/aat/300134977,http://id.loc.gov/vocabulary/resourceTypes/img,,,,https://n2t.net/ark:/87290/v88w3bgf,Unknown,,,,
